Block,WriteCount,ReadCount,TotalCount,BlockTime,IsWrite,IsRead
0,1,0,1,16.418996,1,0
1,1,0,1,16.487972,1,0
2,1,0,1,16.888119,1,0
3,1,0,1,17.530674,1,0
4,1,0,1,17.536763,1,0
5,0,1,1,17.137437,0,1
6,0,1,1,16.479827,0,1
7,0,1,1,16.08136,0,1
8,0,1,1,16.481838,0,1
9,0,1,1,15.872615,0,1
10,0,1,1,15.681789,0,1
11,0,1,1,15.660106,0,1
12,0,1,1,16.616726,0,1
13,0,1,1,16.426763,0,1
14,0,1,1,16.429544,0,1
15,1,0,1,16.479781,1,0
16,1,0,1,17.356438,1,0
17,1,0,1,17.3661,1,0
18,1,0,1,17.574058,1,0
19,1,0,1,16.916873,1,0
20,0,1,1,16.485165,0,1
21,0,1,1,15.623264,0,1
22,0,1,1,16.43343,0,1
23,0,1,1,16.634445,0,1
24,0,1,1,16.071614,0,1
25,0,1,1,16.682248,0,1
26,0,1,1,16.490736,0,1
27,0,1,1,16.485869,0,1
28,0,1,1,16.097488,0,1
29,0,1,1,16.627371,0,1
30,1,0,1,16.434919,1,0
31,1,0,1,16.896108,1,0
32,1,0,1,16.899553,1,0
33,1,0,1,17.75202,1,0
34,1,0,1,17.908041,1,0
35,0,1,1,17.155594,0,1
36,0,1,1,16.49085,0,1
37,0,1,1,16.494175,0,1
38,0,1,1,16.795517,0,1
39,0,1,1,16.62849,0,1
40,0,1,1,16.632078,0,1
41,0,1,1,16.630871,0,1
42,0,1,1,16.678588,0,1
43,0,1,1,16.680634,0,1
44,1,0,1,16.487384,1,0
45,1,0,1,17.371373,1,0
46,1,0,1,17.583921,1,0
47,1,0,1,17.393833,1,0
48,1,0,1,17.382765,1,0
49,0,1,1,17.493094,0,1
50,0,1,1,16.268444,0,1
51,0,1,1,16.071263,0,1
52,0,1,1,16.480312,0,1
53,0,1,1,16.485133,0,1
54,0,1,1,16.889134,0,1
55,0,1,1,16.150208,0,1
56,0,1,1,16.763178,0,1
57,0,1,1,16.405843,0,1
58,1,0,1,16.52437,1,0
59,1,0,1,17.348417,1,0
60,1,0,1,17.551824,1,0
61,1,0,1,17.15593,1,0
62,1,0,1,16.960452,1,0
63,1,0,1,15.363304,1,0
64,1,0,1,17.377926,1,0
65,1,1,2,17.595482,1,1
66,1,0,1,16.671,1,0
67,1,0,1,16.99662,1,0
68,1,0,1,18.211907,1,0
69,1,1,2,17.357084,1,1
70,1,0,1,16.49335,1,0
71,1,0,1,17.564564,1,0
72,1,0,1,16.965352,1,0
73,1,1,2,17.579089,1,1
74,1,0,1,16.517828,1,0
75,1,0,1,17.395323,1,0
76,1,0,1,17.605633,1,0
77,1,1,2,17.811121,1,1
