Block,WriteCount,ReadCount,TotalCount,BlockTime,IsWrite,IsRead
0,1,1,2,17.026258,1,1
1,1,2,3,16.028432,1,1
2,0,2,2,15.562140,0,1
3,0,1,1,15.990247,0,1
4,0,2,2,16.673245,0,1
5,0,2,2,15.995243,0,1
6,0,1,1,15.998518,0,1
7,1,1,2,16.494810,1,1
8,1,1,2,16.690462,1,1
9,1,0,1,15.678912,1,0
10,2,0,2,16.530463,1,0
11,2,1,3,17.503516,1,1
12,1,1,2,16.432491,1,1
13,1,0,1,16.673410,1,0
14,1,1,2,17.350524,1,1
15,0,1,1,16.478307,0,1
16,0,1,1,16.483409,0,1
17,0,1,1,16.087286,0,1
18,0,1,1,16.142356,0,1
19,0,1,1,15.653827,0,1
20,0,1,1,16.430584,0,1
21,0,1,1,16.429231,0,1
22,0,1,1,16.426819,0,1
23,0,1,1,16.031321,0,1
24,0,1,1,16.479891,0,1
25,0,1,1,16.683730,0,1
26,0,1,1,16.488448,0,1
27,0,1,1,16.501780,0,1
28,0,1,1,16.895611,0,1
29,0,1,1,16.455730,0,1
30,0,1,1,16.430178,0,1
31,0,1,1,16.435189,0,1
32,0,1,1,16.629873,0,1
33,0,1,1,16.721870,0,1
34,0,1,1,15.885725,0,1
35,1,0,1,16.491951,1,0
36,2,0,2,17.181047,1,0
37,2,1,3,15.372220,1,1
38,2,1,3,16.730638,1,1
39,2,0,2,16.647348,1,0
40,1,0,1,17.528811,1,0
41,0,1,1,17.339267,0,1
42,0,2,2,16.690072,0,1
43,0,1,1,15.586881,0,1
44,0,1,1,16.289376,0,1
45,0,1,1,16.488359,0,1
46,0,1,1,16.699501,0,1
47,0,2,2,17.123736,0,1
48,0,1,1,16.008225,0,1
49,0,1,1,16.430863,0,1
50,0,1,1,16.675033,0,1
51,1,0,1,16.482388,1,0
52,1,0,1,17.352159,1,0
53,2,0,2,17.379940,1,0
54,2,2,4,17.574577,1,1
55,2,0,2,15.988790,1,0
56,1,0,1,17.564015,1,0
57,1,0,1,17.592836,1,0
58,0,3,3,17.805069,0,1
59,0,2,2,15.523298,0,1
60,0,3,3,16.007918,0,1
61,0,3,3,15.523856,0,1
62,0,2,2,15.720079,0,1
63,2,1,3,16.174907,1,1
64,2,0,2,16.690689,1,0
65,2,0,2,17.573615,1,0
66,2,0,2,17.380600,1,0
67,2,1,3,17.199453,1,1
68,0,1,1,16.643366,0,1
69,0,1,1,16.679535,0,1
70,0,1,1,16.685229,0,1
71,0,1,1,16.492188,0,1
72,0,1,1,16.549191,0,1
73,1,0,1,16.701078,1,0
74,1,0,1,17.386178,1,0
75,2,1,3,17.405000,1,1
76,2,1,3,16.609452,1,1
77,1,0,1,16.202866,1,0
