Block,WriteCount,ReadCount,TotalCount,BlockTime,IsWrite,IsRead
0,1,0,1,16.416398,1,0
1,1,2,3,16.497679,1,1
2,0,2,2,15.564586,0,1
3,0,2,2,15.988097,0,1
4,0,1,1,16.188955,0,1
5,0,1,1,16.069131,0,1
6,0,2,2,16.684406,0,1
7,0,1,1,15.598344,0,1
8,1,1,2,16.503343,1,1
9,2,0,2,15.664403,1,0
10,2,0,2,16.516722,1,0
11,2,0,2,17.494770,1,0
12,2,1,3,17.302558,1,1
13,1,0,1,16.673648,1,0
14,0,1,1,17.338678,0,1
15,0,1,1,16.674373,0,1
16,0,1,1,16.082366,0,1
17,0,1,1,16.496945,0,1
18,0,1,1,17.102633,0,1
19,0,1,1,16.088370,0,1
20,0,1,1,16.660455,0,1
21,1,0,1,15.635594,1,0
22,1,0,1,17.299627,1,0
23,1,0,1,17.305151,1,0
24,2,1,3,17.567872,1,1
25,2,0,2,16.505595,1,0
26,1,0,1,17.544102,1,0
27,1,0,1,16.972760,1,0
28,1,2,3,17.391659,1,1
29,0,1,1,15.959411,0,1
30,0,2,2,16.636455,0,1
31,0,1,1,15.953427,0,1
32,0,2,2,16.074526,0,1
33,0,1,1,16.403162,0,1
34,0,2,2,16.292519,0,1
35,0,1,1,15.598810,0,1
36,0,2,2,16.693253,0,1
37,0,1,1,15.811109,0,1
38,1,1,2,16.546014,1,1
39,2,0,2,16.649230,1,0
40,2,0,2,17.499940,1,0
41,2,1,3,17.551132,1,1
42,2,1,3,16.700821,1,1
43,1,0,1,16.090476,1,0
44,0,2,2,17.166986,0,1
45,0,1,1,16.209838,0,1
46,0,2,2,16.602136,0,1
47,0,1,1,15.579899,0,1
48,0,2,2,17.454753,0,1
49,0,1,1,15.559252,0,1
50,0,2,2,16.474766,0,1
51,1,0,1,16.003643,1,0
52,1,0,1,17.360110,1,0
53,1,0,1,16.962396,1,0
54,2,1,3,17.387280,1,1
55,2,0,2,16.719722,1,0
56,1,0,1,17.363817,1,0
57,1,0,1,16.999551,1,0
58,1,1,2,17.609444,1,1
59,0,1,1,16.476483,0,1
60,0,1,1,16.477304,0,1
61,0,1,1,16.478417,0,1
62,0,1,1,16.482124,0,1
63,0,1,1,16.892202,0,1
64,0,1,1,16.702142,0,1
65,0,1,1,16.500477,0,1
66,0,1,1,16.808371,0,1
67,0,1,1,16.513787,0,1
68,1,0,1,17.324091,1,0
69,2,0,2,16.956611,1,0
70,2,0,2,17.354507,1,0
71,2,1,3,16.959771,1,1
72,2,0,2,16.704851,1,0
73,1,0,1,16.950135,1,0
74,0,1,1,17.384050,0,1
75,0,2,2,17.112870,0,1
76,0,2,2,16.220729,0,1
77,0,2,2,16.827651,0,1
78,1,0,1,16.415574,1,0
