Block,WriteCount,ReadCount,TotalCount,BlockTime,IsWrite,IsRead
0,1,0,1,16.420223,1,0
1,1,0,1,16.888284,1,0
2,1,0,1,16.89142,1,0
3,1,1,2,17.339436,1,1
4,1,0,1,16.671449,1,0
5,0,1,1,17.537019,0,1
6,0,1,1,16.471733,0,1
7,0,1,1,16.687816,0,1
8,0,1,1,16.088526,0,1
9,0,1,1,15.670435,0,1
10,1,0,1,15.280981,1,0
11,1,0,1,16.484729,1,0
12,1,0,1,17.297007,1,0
13,1,0,1,17.300243,1,0
14,1,0,1,17.304369,1,0
15,0,1,1,17.54692,0,1
16,0,1,1,16.477119,0,1
17,0,1,1,17.091758,0,1
18,0,1,1,16.894642,0,1
19,0,1,1,15.276413,0,1
20,1,0,1,16.433371,1,0
21,1,0,1,17.296034,1,0
22,1,0,1,16.897656,1,0
23,1,1,2,17.312112,1,1
24,1,0,1,16.485215,1,0
25,1,0,1,17.355082,1,0
26,1,0,1,17.368735,1,0
27,1,1,2,16.977923,1,1
28,1,0,1,16.498595,1,0
29,1,0,1,17.292327,1,0
30,0,1,1,17.089655,0,1
31,0,1,1,16.429058,0,1
32,0,1,1,16.616508,0,1
33,1,0,1,16.885556,1,0
34,1,0,1,17.354122,1,0
35,1,0,1,16.957607,1,0
36,1,0,1,17.569564,1,0
37,1,0,1,17.581267,1,0
38,0,1,1,17.577965,0,1
39,0,1,1,16.42963,0,1
40,0,1,1,16.63214,0,1
41,0,1,1,16.476806,0,1
42,0,1,1,16.68168,0,1
43,0,1,1,16.282097,0,1
44,0,2,2,16.891238,0,1
45,0,1,1,16.267978,0,1
46,0,1,1,16.763227,0,1
47,0,2,2,17.111112,0,1
48,0,3,3,16.323387,0,1
49,0,2,2,15.486857,0,1
50,0,2,2,16.201719,0,1
51,0,2,2,16.204241,0,1
52,0,4,4,16.220453,0,1
53,0,3,3,15.045292,0,1
54,0,3,3,15.735071,0,1
55,0,3,3,15.824261,0,1
56,0,4,4,16.225105,0,1
57,0,4,4,14.735776,0,1
58,0,4,4,15.436445,0,1
59,0,4,4,15.059872,0,1
60,0,5,5,15.060551,0,1
61,0,4,4,14.762846,0,1
62,0,4,4,13.102916,0,1
63,0,4,4,15.455984,0,1
64,1,4,5,15.655008,1,1
65,1,4,5,15.122845,1,1
66,1,4,5,14.730723,1,1
67,1,4,5,15.265334,1,1
68,1,4,5,15.377784,1,1
69,0,4,4,14.653172,0,1
70,0,4,4,15.055625,0,1
71,0,5,5,15.255619,0,1
72,0,4,4,14.756696,0,1
73,0,4,4,14.885615,0,1
74,0,4,4,15.840663,0,1
75,0,5,5,15.141291,0,1
76,0,4,4,14.644058,0,1
77,0,4,4,15.394351,0,1
78,0,4,4,16.094558,0,1
,,,,,,
