Block,WriteCount,ReadCount,TotalCount,BlockTime,IsWrite,IsRead
0,5,0,5,17.069507,1,0
1,3,0,3,17.273380,1,0
2,3,0,3,17.337982,1,0
3,1,0,1,17.504185,1,0
4,1,0,1,17.533516,1,0
5,1,0,1,17.541524,1,0
6,1,0,1,16.943909,1,0
7,1,0,1,17.159140,1,0
8,1,0,1,17.363569,1,0
9,1,0,1,16.513129,1,0
10,1,0,1,16.519869,1,0
11,1,0,1,17.291179,1,0
12,1,0,1,17.296225,1,0
13,1,0,1,17.298723,1,0
14,1,0,1,17.299459,1,0
15,0,1,1,17.346084,0,1
16,0,1,1,16.877662,0,1
17,0,1,1,16.690831,0,1
18,0,1,1,17.097530,0,1
19,0,1,1,15.679208,0,1
20,0,1,1,16.434540,0,1
21,0,1,1,16.628124,0,1
22,0,1,1,16.434575,0,1
23,0,1,1,16.430321,0,1
24,0,1,1,16.480484,0,1
25,4,0,4,16.523292,1,0
26,4,0,4,16.939102,1,0
27,4,0,4,17.349232,1,0
28,4,0,4,17.559560,1,0
29,4,0,4,16.891939,1,0
30,4,0,4,17.335566,1,0
31,4,0,4,17.340702,1,0
32,4,0,4,17.736238,1,0
33,4,0,4,16.750066,1,0
34,2,0,2,17.721842,1,0
35,2,0,2,16.964335,1,0
36,2,0,2,16.971601,1,0
37,2,0,2,17.407194,1,0
38,2,0,2,17.809444,1,0
39,0,1,1,17.476664,0,1
40,0,1,1,16.069138,0,1
41,0,1,1,16.668322,0,1
42,1,0,1,16.484701,1,0
43,1,0,1,17.559982,1,0
44,1,0,1,17.567475,1,0
45,1,1,2,17.579975,1,1
46,1,0,1,16.502573,1,0
47,1,0,1,16.990590,1,0
48,1,0,1,17.393865,1,0
49,1,0,1,17.535703,1,0
50,1,0,1,17.343175,1,0
51,1,0,1,17.347030,1,0
52,1,0,1,17.557122,1,0
53,1,0,1,17.366110,1,0
54,1,0,1,16.971590,1,0
55,1,0,1,17.582320,1,0
56,0,1,1,17.178679,0,1
57,0,1,1,16.073463,0,1
58,0,1,1,17.116111,0,1
59,0,1,1,16.274429,0,1
60,0,2,2,16.487952,0,1
61,0,2,2,16.340748,0,1
62,0,2,2,15.606287,0,1
63,0,2,2,16.213609,0,1
64,0,2,2,15.709080,0,1
65,0,3,3,16.426080,0,1
66,0,3,3,15.919526,0,1
67,0,3,3,14.997896,0,1
68,0,3,3,16.321360,0,1
69,0,3,3,15.730124,0,1
70,0,4,4,15.742734,0,1
71,0,4,4,15.046440,0,1
72,0,4,4,15.568124,0,1
73,0,4,4,15.452223,0,1
74,0,4,4,13.827256,0,1
75,0,1,1,14.691538,0,1
76,0,3,3,16.234604,0,1
77,0,4,4,15.606411,0,1
78,0,4,4,15.708596,0,1
