Block,WriteCount,ReadCount,TotalCount,BlockTime,IsWrite,IsRead
0,0,4,4,16.435972,0,1
1,0,4,4,15.026711,0,1
2,0,4,4,14.655421,0,1
3,0,4,4,15.056230,0,1
4,0,4,4,15.049940,0,1
5,0,4,4,15.047163,0,1
6,0,4,4,15.047050,0,1
7,0,4,4,15.245395,0,1
8,0,4,4,15.443150,0,1
9,0,4,4,14.665778,0,1
10,0,4,4,15.031215,0,1
11,0,4,4,15.024887,0,1
12,0,4,4,14.663777,0,1
13,0,4,4,15.249845,0,1
14,0,4,4,14.650885,0,1
15,0,4,4,15.053842,0,1
16,0,4,4,15.254847,0,1
17,0,4,4,14.619667,0,1
18,0,4,4,15.442114,0,1
19,0,4,4,15.035122,0,1
20,0,4,4,14.623525,0,1
21,0,4,4,15.055041,0,1
22,0,4,4,15.254040,0,1
23,0,4,4,15.040573,0,1
24,0,4,4,15.045173,0,1
25,0,4,4,14.651689,0,1
26,0,4,4,15.246592,0,1
27,0,4,4,15.646183,0,1
28,0,5,5,14.714814,0,1
29,0,4,4,14.556077,0,1
30,0,4,4,15.060399,0,1
31,0,4,4,15.065261,0,1
32,0,4,4,14.848248,0,1
33,0,4,4,15.452414,0,1
34,0,5,5,15.262403,0,1
35,0,4,4,14.734425,0,1
36,0,4,4,14.903749,0,1
37,0,4,4,15.853370,0,1
38,0,4,4,15.836628,0,1
39,0,4,4,14.852814,0,1
40,0,4,4,15.262454,0,1
41,0,4,4,15.260958,0,1
42,0,4,4,15.053237,0,1
43,0,4,4,15.251079,0,1
44,0,4,4,15.224097,0,1
45,0,4,4,15.466373,0,1
46,0,3,3,14.698684,0,1
47,0,3,3,16.339188,0,1
48,0,3,3,16.327138,0,1
49,0,3,3,15.724234,0,1
50,0,3,3,15.731326,0,1
51,0,3,3,15.134233,0,1
52,0,2,2,15.723987,0,1
53,0,2,2,16.014712,0,1
54,0,2,2,16.189545,0,1
55,0,2,2,15.981323,0,1
56,0,1,1,15.675403,0,1
57,0,1,1,16.911207,0,1
58,1,0,1,17.317582,1,0
59,2,0,2,17.352519,1,0
60,3,0,3,17.357483,1,0
61,4,0,4,17.566963,1,0
62,5,0,5,17.366216,1,0
63,6,0,6,17.358082,1,0
64,7,0,7,17.753928,1,0
65,7,0,7,17.756076,1,0
66,7,0,7,17.655527,1,0
67,7,0,7,18.262844,1,0
68,7,0,7,18.121227,1,0
69,7,0,7,17.534202,1,0
70,7,0,7,17.344761,1,0
71,7,0,7,16.928809,1,0
72,7,0,7,16.473416,1,0
73,7,0,7,18.274406,1,0
74,2,0,2,18.004766,1,0
75,5,0,5,17.816732,1,0
76,7,0,7,18.177543,1,0
77,6,0,6,18.163782,1,0
78,6,0,6,18.350486,1,0
