Block,WriteCount,ReadCount,TotalCount,BlockTime,IsWrite,IsRead
0,2,0,2,16.427974,1,0
1,4,0,4,17.317134,1,0
2,4,0,4,16.923746,1,0
3,4,0,4,17.530314,1,0
4,4,0,4,16.930298,1,0
5,4,0,4,16.934366,1,0
6,4,0,4,17.334784,1,0
7,4,0,4,16.943868,1,0
8,4,0,4,16.948133,1,0
9,4,0,4,16.926706,1,0
10,4,0,4,17.500446,1,0
11,4,0,4,17.497584,1,0
12,4,0,4,17.534553,1,0
13,4,0,4,17.539257,1,0
14,4,0,4,17.536653,1,0
15,4,0,4,17.347567,1,0
16,4,0,4,17.551166,1,0
17,4,0,4,16.957091,1,0
18,3,0,3,17.768093,1,0
19,2,0,2,17.284996,1,0
20,1,0,1,17.481570,1,0
21,1,0,1,17.334961,1,0
22,2,0,2,17.553781,1,0
23,3,0,3,17.551361,1,0
24,4,0,4,17.362149,1,0
25,4,0,4,16.943034,1,0
26,4,0,4,17.551948,1,0
27,4,0,4,17.351450,1,0
28,4,0,4,17.354452,1,0
29,4,0,4,17.533306,1,0
30,4,0,4,17.333292,1,0
31,4,0,4,17.330305,1,0
32,4,0,4,17.549249,1,0
33,4,0,4,17.942145,1,0
34,4,0,4,17.886828,1,0
35,4,0,4,17.356990,1,0
36,4,0,4,17.755116,1,0
37,4,0,4,18.104886,1,0
38,4,0,4,18.114408,1,0
39,4,0,4,17.336449,1,0
40,4,0,4,16.941842,1,0
41,3,0,3,17.328412,1,0
42,2,0,2,17.533555,1,0
43,1,0,1,17.343803,1,0
44,1,0,1,17.574516,1,0
45,2,0,2,17.189707,1,0
46,3,0,3,16.984436,1,0
47,4,0,4,17.792059,1,0
48,4,0,4,18.089212,1,0
49,4,0,4,16.931361,1,0
50,4,0,4,17.348755,1,0
51,4,0,4,17.551784,1,0
52,4,0,4,17.349061,1,0
53,4,0,4,17.751755,1,0
54,4,0,4,17.388569,1,0
55,4,0,4,18.087941,1,0
56,4,0,4,18.094358,1,0
57,2,0,2,18.277196,1,0
58,2,0,2,18.119343,1,0
59,4,0,4,16.965988,1,0
60,4,0,4,17.347274,1,0
61,4,0,4,17.343315,1,0
62,4,0,4,17.763970,1,0
63,3,0,3,17.747437,1,0
64,3,0,3,16.495622,1,0
65,2,0,2,18.091897,1,0
66,1,0,1,18.099516,1,0
67,1,0,1,18.449390,1,0
68,1,0,1,18.136725,1,0
69,2,0,2,17.573585,1,0
70,3,0,3,17.567021,1,0
71,4,0,4,16.966113,1,0
72,5,0,5,17.363082,1,0
73,5,0,5,17.422740,1,0
74,5,0,5,18.083691,1,0
75,5,0,5,18.068770,1,0
76,5,0,5,18.087976,1,0
77,5,0,5,18.369602,1,0
78,5,0,5,18.168633,1,0
