Block,WriteCount,ReadCount,TotalCount,BlockTime,IsWrite,IsRead
0,0,5,5,17.042968,0,1
1,0,4,4,14.366363,0,1
2,0,4,4,14.659895,0,1
3,0,4,4,13.458137,0,1
4,0,5,5,14.651893,0,1
5,0,4,4,14.574481,0,1
6,0,4,4,15.256829,0,1
7,0,4,4,15.453970,0,1
8,0,5,5,15.011075,0,1
9,0,4,4,13.381228,0,1
10,0,4,4,15.230519,0,1
11,0,4,4,15.026192,0,1
12,0,5,5,15.256812,0,1
13,0,4,4,14.775066,0,1
14,0,4,4,15.056730,0,1
15,0,4,4,15.251113,0,1
16,0,5,5,15.054353,0,1
17,0,4,4,14.733037,0,1
18,0,4,4,14.700369,0,1
19,0,4,4,14.223076,0,1
20,0,5,5,14.633521,0,1
21,0,4,4,14.774494,0,1
22,0,4,4,14.651807,0,1
23,0,4,4,15.048352,0,1
24,0,5,5,14.659191,0,1
25,0,4,4,14.579336,0,1
26,0,4,4,15.038483,0,1
27,0,4,4,15.222686,0,1
28,0,5,5,14.727882,0,1
29,0,4,4,14.555529,0,1
30,0,4,4,15.060876,0,1
31,0,4,4,15.257269,0,1
32,1,4,5,15.070662,1,1
33,1,4,5,14.511127,1,1
34,1,4,5,15.386679,1,1
35,1,4,5,14.826939,1,1
36,1,4,5,15.121941,1,1
37,0,4,4,14.719345,0,1
38,0,4,4,15.108948,0,1
39,0,5,5,15.276176,0,1
40,0,4,4,14.184541,0,1
41,0,4,4,14.849120,0,1
42,0,4,4,15.052822,0,1
43,0,5,5,13.659255,0,1
44,0,4,4,14.728590,0,1
45,0,4,4,15.060604,0,1
46,0,4,4,15.097229,0,1
47,0,5,5,15.150968,0,1
48,0,4,4,15.139230,0,1
49,0,4,4,15.057477,0,1
50,0,4,4,15.256000,0,1
51,0,5,5,15.065201,0,1
52,0,4,4,14.747804,0,1
53,0,4,4,14.807877,0,1
54,0,6,6,14.324455,0,1
55,0,4,4,13.748483,0,1
56,0,4,4,15.138194,0,1
57,0,5,5,15.911538,0,1
58,0,4,4,14.922327,0,1
59,0,4,4,15.062885,0,1
60,0,4,4,14.856759,0,1
61,0,5,5,15.271545,0,1
62,0,4,4,15.091613,0,1
63,0,4,4,14.303940,0,1
64,0,3,3,14.304971,0,1
65,0,4,4,15.638947,0,1
66,0,3,3,15.893150,0,1
67,0,3,3,16.603988,0,1
68,0,2,2,15.512384,0,1
69,0,3,3,16.018595,0,1
70,0,2,2,13.917465,0,1
71,0,1,1,16.178094,0,1
72,0,1,1,16.461790,0,1
73,0,2,2,16.071637,0,1
74,0,1,1,16.069237,0,1
75,0,1,1,16.508076,0,1
76,1,0,1,17.322419,1,0
77,1,0,1,17.448759,1,0
