Block,WriteCount,ReadCount,TotalCount,BlockTime,IsWrite,IsRead
0,5,0,5,16.466182,1,0
1,2,0,2,16.862960,1,0
2,3,0,3,16.931791,1,0
3,4,0,4,16.938582,1,0
4,5,0,5,16.941670,1,0
5,5,0,5,16.929826,1,0
6,5,0,5,17.336284,1,0
7,5,0,5,17.743574,1,0
8,4,0,4,17.734502,1,0
9,2,0,2,17.275086,1,0
10,1,0,1,17.278948,1,0
11,1,0,1,17.490417,1,0
12,1,0,1,17.495874,1,0
13,2,0,2,17.549644,1,0
14,3,0,3,17.557557,1,0
15,4,0,4,17.359361,1,0
16,4,0,4,17.547921,1,0
17,4,0,4,17.550437,1,0
18,4,0,4,17.555645,1,0
19,4,0,4,17.297837,1,0
20,4,0,4,17.127246,1,0
21,4,0,4,17.538649,1,0
22,4,0,4,17.336679,1,0
23,4,0,4,17.345007,1,0
24,4,0,4,17.346210,1,0
25,4,0,4,17.546230,1,0
26,4,0,4,17.753440,1,0
27,4,0,4,17.362186,1,0
28,3,0,3,18.075215,1,0
29,1,0,1,16.904095,1,0
30,4,0,4,17.372468,1,0
31,4,0,4,17.540633,1,0
32,4,0,4,17.741495,1,0
33,3,0,3,17.137440,1,0
34,2,0,2,16.946508,1,0
35,1,0,1,17.353147,1,0
36,1,0,1,17.777559,1,0
37,2,0,2,17.802905,1,0
38,3,0,3,17.826427,1,0
39,4,0,4,17.548687,1,0
40,5,0,5,17.349249,1,0
41,5,0,5,17.536498,1,0
42,5,0,5,17.139711,1,0
43,5,0,5,17.149648,1,0
44,5,0,5,17.754065,1,0
45,5,0,5,16.980873,1,0
46,5,0,5,18.085544,1,0
47,5,0,5,17.692607,1,0
48,5,0,5,18.081139,1,0
49,5,0,5,17.141902,1,0
50,5,0,5,17.343776,1,0
51,5,0,5,17.550671,1,0
52,5,0,5,17.745362,1,0
53,3,0,3,17.757884,1,0
54,1,0,1,18.077969,1,0
55,4,0,4,17.390890,1,0
56,3,0,3,18.079792,1,0
57,2,0,2,18.099099,1,0
58,2,0,2,18.332974,1,0
59,1,0,1,17.333788,1,0
60,1,0,1,17.551368,1,0
61,4,0,4,17.395918,1,0
62,4,0,4,17.563377,1,0
63,4,0,4,17.364550,1,0
64,4,0,4,16.998491,1,0
65,4,0,4,18.099065,1,0
66,4,0,4,17.901516,1,0
67,4,0,4,18.296279,1,0
68,4,0,4,18.108725,1,0
69,4,0,4,17.145047,1,0
70,3,0,3,17.549488,1,0
71,0,1,1,17.722718,0,1
72,0,1,1,16.557098,0,1
73,0,1,1,15.699129,0,1
74,0,1,1,16.604542,0,1
75,0,1,1,16.612671,0,1
76,0,1,1,17.378811,0,1
77,0,1,1,17.411960,0,1
