Block,WriteCount,ReadCount,TotalCount,BlockTime,IsWrite,IsRead
0,1,0,1,17.018282,1,0
1,1,0,1,16.490123,1,0
2,2,1,3,16.902322,1,1
3,2,0,2,16.682794,1,0
4,1,0,1,17.523465,1,0
5,1,0,1,17.340509,1,0
6,1,1,2,17.358704,1,1
7,0,1,1,16.087394,0,1
8,0,1,1,16.693275,0,1
9,0,1,1,15.874376,0,1
10,0,1,1,16.053317,0,1
11,0,1,1,16.062749,0,1
12,0,1,1,16.422087,0,1
13,0,1,1,16.428560,0,1
14,0,1,1,16.430616,0,1
15,0,1,1,16.476015,0,1
16,0,1,1,16.477701,0,1
17,0,1,1,16.489407,0,1
18,0,1,1,16.690883,0,1
19,0,1,1,15.255892,0,1
20,0,1,1,16.458430,0,1
21,1,0,1,16.431514,1,0
22,1,0,1,17.299097,1,0
23,1,0,1,17.092372,1,0
24,1,0,1,17.549807,1,0
25,1,0,1,16.955503,1,0
26,1,0,1,17.367382,1,0
27,1,0,1,17.371480,1,0
28,1,0,1,17.373661,1,0
29,1,0,1,17.293176,1,0
30,1,0,1,17.494095,1,0
31,0,1,1,17.294857,0,1
32,0,1,1,16.638472,0,1
33,0,1,1,16.319858,0,1
34,0,1,1,14.881796,0,1
35,0,2,2,16.501543,0,1
36,0,2,2,16.360987,0,1
37,0,2,2,14.415578,0,1
38,0,2,2,16.116266,0,1
39,0,2,2,15.562962,0,1
40,0,3,3,16.169270,0,1
41,0,3,3,15.729331,0,1
42,0,3,3,15.729311,0,1
43,0,3,3,15.737308,0,1
44,0,3,3,15.123151,0,1
45,0,4,4,15.727094,0,1
46,0,4,4,15.213637,0,1
47,0,6,6,15.653391,0,1
48,0,5,5,14.850887,0,1
49,0,4,4,12.559069,0,1
50,0,4,4,15.265052,0,1
51,0,4,4,15.053795,0,1
52,0,3,3,15.054971,0,1
53,0,1,1,15.515555,0,1
54,0,4,4,16.314967,0,1
55,0,4,4,14.818842,0,1
56,0,6,6,15.466585,0,1
57,0,4,4,14.151845,0,1
58,0,4,4,15.864245,0,1
59,0,5,5,15.065690,0,1
60,0,4,4,14.784985,0,1
61,0,4,4,15.060451,0,1
62,0,4,4,13.325347,0,1
63,0,4,4,15.019474,0,1
64,0,4,4,15.050635,0,1
65,0,2,2,15.815613,0,1
66,0,2,2,15.684740,0,1
67,0,4,4,17.038046,0,1
68,0,4,4,15.644683,0,1
69,0,4,4,15.261905,0,1
70,0,4,4,13.443472,0,1
71,0,4,4,15.063484,0,1
72,0,4,4,15.247985,0,1
73,0,4,4,15.647665,0,1
74,0,4,4,14.316595,0,1
75,0,4,4,15.838527,0,1
76,0,4,4,15.436303,0,1
77,0,4,4,15.385953,0,1
