Block,WriteCount,ReadCount,TotalCount,BlockTime,IsWrite,IsRead
0,4,0,4,16.451027,1,0
1,4,0,4,17.293700,1,0
2,4,0,4,16.927247,1,0
3,3,0,3,17.523090,1,0
4,1,0,1,16.907710,1,0
5,1,0,1,17.348943,1,0
6,1,0,1,17.549733,1,0
7,1,0,1,16.960181,1,0
8,1,0,1,17.363469,1,0
9,1,0,1,16.108433,1,0
10,1,0,1,16.521908,1,0
11,1,0,1,17.293575,1,0
12,1,0,1,17.298723,1,0
13,1,0,1,17.296187,1,0
14,1,0,1,16.899522,1,0
15,1,0,1,17.347075,1,0
16,1,0,1,17.351963,1,0
17,1,0,1,17.570275,1,0
18,1,0,1,17.368307,1,0
19,1,0,1,16.920958,1,0
20,1,0,1,17.489186,1,0
21,1,0,1,17.290314,1,0
22,1,0,1,17.498704,1,0
23,1,0,1,17.298543,1,0
24,1,0,1,17.344796,1,0
25,1,0,1,16.953871,1,0
26,1,0,1,17.363454,1,0
27,1,0,1,17.575321,1,0
28,1,0,1,17.378981,1,0
29,1,0,1,16.486205,1,0
30,1,0,1,17.298239,1,0
31,1,0,1,17.297413,1,0
32,1,0,1,17.347790,1,0
33,1,0,1,17.949040,1,0
34,1,0,1,17.911359,1,0
35,1,0,1,16.961338,1,0
36,1,0,1,17.571160,1,0
37,1,0,1,17.584786,1,0
38,1,0,1,17.184856,1,0
39,1,0,1,17.495865,1,0
40,1,0,1,17.300409,1,0
41,1,0,1,17.546222,1,0
42,1,0,1,17.555821,1,0
43,1,0,1,17.557305,1,0
44,1,0,1,17.369594,1,0
45,1,0,1,17.572279,1,0
46,1,0,1,17.374732,1,0
47,1,0,1,17.389589,1,0
48,1,0,1,17.396040,1,0
49,1,0,1,17.499570,1,0
50,1,0,1,17.142308,1,0
51,1,0,1,15.344563,1,0
52,1,0,1,17.562488,1,0
53,1,0,1,17.566364,1,0
54,1,0,1,17.368606,1,0
55,1,0,1,17.580139,1,0
56,1,0,1,17.585694,1,0
57,1,0,1,17.398585,1,0
58,1,0,1,17.395806,1,0
59,1,0,1,17.345634,1,0
60,1,0,1,17.354681,1,0
61,1,0,1,17.555551,1,0
62,1,0,1,17.367190,1,0
63,1,0,1,17.375210,1,0
64,1,0,1,17.378608,1,0
65,1,0,1,17.586907,1,0
66,1,0,1,17.392756,1,0
67,1,0,1,17.597874,1,0
68,1,0,1,17.807449,1,0
69,1,0,1,17.144695,1,0
70,1,0,1,17.560555,1,0
71,1,0,1,17.568984,1,0
72,1,0,1,17.366643,1,0
73,1,0,1,17.368993,1,0
74,1,0,1,17.589688,1,0
75,1,0,1,17.597883,1,0
76,1,0,1,17.596041,1,0
77,1,0,1,17.814694,1,0
