Block,WriteCount,ReadCount,TotalCount,BlockTime,IsWrite,IsRead
0,1,0,1,16.423359,1,0
1,1,0,1,16.890132,1,0
2,1,0,1,16.882347,1,0
3,1,0,1,17.324308,1,0
4,1,0,1,16.934742,1,0
5,1,0,1,17.340012,1,0
6,1,0,1,17.348701,1,0
7,1,0,1,17.561463,1,0
8,1,0,1,17.563275,1,0
9,2,0,2,16.518156,1,0
10,3,0,3,16.535107,1,0
11,4,0,4,17.299001,1,0
12,4,0,4,16.888587,1,0
13,4,0,4,16.933907,1,0
14,4,0,4,17.342744,1,0
15,4,0,4,17.541337,1,0
16,4,0,4,17.547447,1,0
17,2,0,2,17.321288,1,0
18,2,0,2,16.967230,1,0
19,1,0,1,16.910204,1,0
20,3,0,3,17.515228,1,0
21,4,0,4,17.306429,1,0
22,4,0,4,17.337547,1,0
23,4,0,4,16.936434,1,0
24,4,0,4,16.935568,1,0
25,4,0,4,16.937120,1,0
26,4,0,4,17.348358,1,0
27,4,0,4,17.757130,1,0
28,4,0,4,16.950962,1,0
29,4,0,4,17.300580,1,0
30,3,0,3,17.524644,1,0
31,2,0,2,17.324727,1,0
32,1,0,1,17.327163,1,0
33,2,0,2,17.764120,1,0
34,3,0,3,17.366210,1,0
35,3,0,3,17.354832,1,0
36,3,0,3,17.353107,1,0
37,3,0,3,17.362196,1,0
38,3,0,3,17.402308,1,0
39,3,0,3,17.536829,1,0
40,3,0,3,16.937094,1,0
41,3,0,3,17.543354,1,0
42,3,0,3,17.345183,1,0
43,3,0,3,17.364037,1,0
44,3,0,3,17.148923,1,0
45,3,0,3,17.557550,1,0
46,3,0,3,17.364083,1,0
47,3,0,3,17.770830,1,0
48,3,0,3,18.105046,1,0
49,3,0,3,17.337728,1,0
50,3,0,3,17.346524,1,0
51,3,0,3,17.342219,1,0
52,2,0,2,17.542003,1,0
53,1,0,1,17.555083,1,0
54,1,0,1,17.370351,1,0
55,2,0,2,17.395937,1,0
56,3,0,3,17.400376,1,0
57,4,0,4,17.826322,1,0
58,5,0,5,18.093472,1,0
59,4,0,4,17.331480,1,0
60,5,0,5,17.559987,1,0
61,5,0,5,17.144529,1,0
62,5,0,5,17.354652,1,0
63,5,0,5,16.983376,1,0
64,5,0,5,18.094982,1,0
65,5,0,5,18.080611,1,0
66,5,0,5,18.283838,1,0
67,5,0,5,17.679281,1,0
68,5,0,5,18.155350,1,0
69,5,0,5,17.142647,1,0
70,5,0,5,16.946430,1,0
71,5,0,5,17.749301,1,0
72,5,0,5,17.789047,1,0
73,4,0,4,18.078431,1,0
74,3,0,3,17.682832,1,0
75,1,0,1,18.271104,1,0
76,1,0,1,18.332993,1,0
77,1,0,1,18.135778,1,0
78,1,0,1,18.410312,1,0
