Block,WriteCount,ReadCount,TotalCount,BlockTime,IsWrite,IsRead
0,2,0,2,17.028755,1,0
1,3,0,3,17.296554,1,0
2,4,0,4,17.303774,1,0
3,5,0,5,17.141657,1,0
4,1,0,1,17.490959,1,0
5,4,0,4,17.578025,1,0
6,5,0,5,17.349516,1,0
7,5,0,5,17.547111,1,0
8,5,0,5,17.745154,1,0
9,5,0,5,17.101927,1,0
10,5,0,5,17.295570,1,0
11,5,0,5,17.534187,1,0
12,5,0,5,17.531107,1,0
13,1,0,1,17.492920,1,0
14,4,0,4,17.581812,1,0
15,5,0,5,17.361792,1,0
16,5,0,5,17.733090,1,0
17,2,0,2,16.906369,1,0
18,3,0,3,17.020972,1,0
19,5,0,5,17.518787,1,0
20,5,0,5,17.502303,1,0
21,4,0,4,17.329091,1,0
22,1,0,1,17.499935,1,0
23,4,0,4,16.985635,1,0
24,2,0,2,17.519861,1,0
25,1,0,1,17.339581,1,0
26,1,0,1,17.365357,1,0
27,1,0,1,17.375929,1,0
28,1,0,1,17.782186,1,0
29,2,0,2,16.903351,1,0
30,3,0,3,16.906944,1,0
31,4,0,4,16.946479,1,0
32,4,0,4,17.135028,1,0
33,4,0,4,17.148723,1,0
34,4,0,4,17.347715,1,0
35,4,0,4,17.357030,1,0
36,4,0,4,17.155785,1,0
37,4,0,4,17.753566,1,0
38,4,0,4,17.302336,1,0
39,4,0,4,16.936299,1,0
40,4,0,4,17.537374,1,0
41,4,0,4,17.546281,1,0
42,4,0,4,17.344765,1,0
43,4,0,4,17.555835,1,0
44,4,0,4,17.155382,1,0
45,4,0,4,17.368495,1,0
46,4,0,4,18.090810,1,0
47,4,0,4,17.700902,1,0
48,3,0,3,18.286747,1,0
49,2,0,2,17.529082,1,0
50,1,0,1,17.132367,1,0
51,1,0,1,17.150983,1,0
52,2,0,2,17.377398,1,0
53,3,0,3,17.379604,1,0
54,4,0,4,17.576437,1,0
55,4,0,4,16.955158,1,0
56,4,0,4,17.769736,1,0
57,4,0,4,18.104506,1,0
58,4,0,4,18.094241,1,0
59,4,0,4,17.542420,1,0
60,4,0,4,16.944756,1,0
61,4,0,4,17.554775,1,0
62,4,0,4,16.950319,1,0
63,4,0,4,17.764631,1,0
64,4,0,4,17.301878,1,0
65,4,0,4,18.095871,1,0
66,4,0,4,18.289705,1,0
67,4,0,4,18.482793,1,0
68,4,0,4,18.173423,1,0
69,2,0,2,15.717320,1,0
70,2,0,2,17.162470,1,0
71,4,0,4,17.594584,1,0
72,3,0,3,17.348954,1,0
73,2,0,2,17.790396,1,0
74,1,0,1,18.099595,1,0
75,1,0,1,18.127949,1,0
76,2,0,2,17.766007,1,0
77,1,0,1,18.308158,1,0
