Block,WriteCount,ReadCount,TotalCount,BlockTime,IsWrite,IsRead
0,0,4,4,16.432903,0,1
1,0,4,4,15.025703,0,1
2,0,4,4,14.629339,0,1
3,0,1,1,15.235730,0,1
4,0,3,3,16.085052,0,1
5,0,4,4,15.132804,0,1
6,0,4,4,15.248973,0,1
7,0,4,4,15.347060,0,1
8,0,4,4,15.053784,0,1
9,0,4,4,14.262804,0,1
10,0,4,4,14.229041,0,1
11,0,4,4,15.032571,0,1
12,0,4,4,15.062375,0,1
13,0,4,4,15.258477,0,1
14,0,4,4,15.037873,0,1
15,0,4,4,15.250309,0,1
16,0,4,4,15.247571,0,1
17,0,4,4,15.378757,0,1
18,0,4,4,15.647881,0,1
19,0,4,4,15.240206,0,1
20,0,4,4,15.228904,0,1
21,0,4,4,14.657341,0,1
22,0,4,4,15.052239,0,1
23,0,4,4,15.048482,0,1
24,0,4,4,15.257931,0,1
25,0,4,4,15.235720,0,1
26,0,4,4,14.613095,0,1
27,0,4,4,14.721922,0,1
28,0,4,4,15.449225,0,1
29,0,4,4,15.029828,0,1
30,0,4,4,15.063837,0,1
31,0,4,4,15.058670,0,1
32,0,4,4,14.859265,0,1
33,0,4,4,14.656307,0,1
34,0,4,4,15.261121,0,1
35,0,4,4,15.398764,0,1
36,0,4,4,14.704758,0,1
37,0,4,4,14.710853,0,1
38,0,4,4,15.101569,0,1
39,0,4,4,14.859921,0,1
40,0,4,4,14.656425,0,1
41,0,4,4,14.862394,0,1
42,0,4,4,15.044177,0,1
43,0,4,4,14.852339,0,1
44,0,4,4,15.213056,0,1
45,0,4,4,14.306831,0,1
46,0,4,4,14.704075,0,1
47,0,4,4,15.441961,0,1
48,0,4,4,13.541950,0,1
49,0,4,4,15.270892,0,1
50,0,4,4,14.653159,0,1
51,0,4,4,14.656850,0,1
52,0,4,4,15.400489,0,1
53,0,4,4,15.225023,0,1
54,0,4,4,13.844319,0,1
55,0,4,4,15.246419,0,1
56,0,4,4,15.839004,0,1
57,0,4,4,15.705428,0,1
58,0,4,4,15.919641,0,1
59,0,4,4,15.259343,0,1
60,0,4,4,15.259190,0,1
61,0,4,4,15.261505,0,1
62,0,4,4,14.618819,0,1
63,0,4,4,14.713230,0,1
64,0,4,4,15.852269,0,1
65,0,4,4,14.711828,0,1
66,0,4,4,15.911255,0,1
67,0,4,4,16.107221,0,1
68,0,4,4,15.833731,0,1
69,0,4,4,15.257393,0,1
70,0,4,4,15.255567,0,1
71,0,4,4,13.023474,0,1
72,0,4,4,14.659350,0,1
73,0,4,4,15.467225,0,1
74,1,0,1,14.689383,1,0
75,2,0,2,17.037455,1,0
76,3,0,3,18.131963,1,0
77,4,0,4,17.724906,1,0
78,5,0,5,18.099857,1,0
