Block,WriteCount,ReadCount,TotalCount,BlockTime,IsWrite,IsRead
0,1,0,1,16.422989,1,0
1,1,0,1,17.086684,1,0
2,2,0,2,17.102431,1,0
3,2,1,3,17.531369,1,1
4,2,0,2,16.479025,1,0
5,1,0,1,17.529206,1,0
6,1,0,1,17.550861,1,0
7,0,2,2,17.567276,0,1
8,0,1,1,16.352124,0,1
9,0,2,2,15.255534,0,1
10,0,1,1,14.783868,0,1
11,0,2,2,16.467736,0,1
12,0,1,1,16.153900,0,1
13,1,0,1,16.633807,1,0
14,2,1,3,17.320685,1,1
15,2,0,2,16.692241,1,0
16,2,1,3,17.352197,1,1
17,2,0,2,16.706380,1,0
18,1,1,2,17.362201,1,1
19,0,2,2,16.067495,0,1
20,0,1,1,15.153613,0,1
21,0,1,1,16.632208,0,1
22,0,1,1,16.432490,0,1
23,0,1,1,16.674423,0,1
24,0,1,1,16.477385,0,1
25,0,2,2,16.488011,0,1
26,0,1,1,16.247935,0,1
27,0,1,1,16.496989,0,1
28,0,1,1,14.895166,0,1
29,0,1,1,15.618160,0,1
30,0,1,1,16.628643,0,1
31,0,2,2,16.641767,0,1
32,0,1,1,15.593869,0,1
33,1,1,2,16.484240,1,1
34,1,0,1,16.643089,1,0
35,1,0,1,17.361026,1,0
36,2,0,2,17.583704,1,0
37,2,1,3,17.377443,1,1
38,1,1,2,16.514805,1,1
39,1,0,1,16.033046,1,0
40,1,1,2,17.543586,1,1
41,0,1,1,16.677161,0,1
42,0,1,1,16.880925,0,1
43,0,1,1,16.481434,0,1
44,0,1,1,16.889911,0,1
45,0,1,1,16.702445,0,1
46,0,1,1,16.098338,0,1
47,0,1,1,16.397420,0,1
48,0,1,1,16.906685,0,1
49,0,2,2,16.639891,0,1
50,1,1,2,15.808955,1,1
51,1,0,1,16.688941,1,0
52,1,0,1,17.559572,1,0
53,2,1,3,15.979857,1,1
54,2,1,3,16.523580,1,1
55,1,0,1,16.676640,1,0
56,1,0,1,17.589852,1,0
57,1,1,2,17.396303,1,1
58,0,1,1,16.191072,0,1
59,0,1,1,16.668349,0,1
60,0,2,2,16.690546,0,1
61,0,1,1,15.594536,0,1
62,0,1,1,17.093548,0,1
63,0,2,2,17.099378,0,1
64,0,1,1,16.299328,0,1
65,0,1,1,16.810207,0,1
66,0,2,2,17.255534,0,1
67,0,1,1,16.421372,0,1
68,0,1,1,15.983821,0,1
69,0,1,1,16.290467,0,1
70,0,1,1,16.884830,0,1
71,0,1,1,16.083729,0,1
72,0,2,2,17.108024,0,1
73,1,0,1,16.219278,1,0
74,1,0,1,17.586976,1,0
75,1,1,2,17.596984,1,1
76,2,1,3,16.226525,1,1
77,2,0,2,16.615043,1,0
78,1,0,1,17.015187,1,0
