0,17.026258
1,16.028432
2,15.562140
3,15.990247
4,16.673245
5,15.995243
6,15.998518
7,16.494810
8,16.690462
9,15.678912
10,16.530463
11,17.503516
12,16.432491
13,16.673410
14,17.350524
15,16.478307
16,16.483409
17,16.087286
18,16.142356
19,15.653827
20,16.430584
21,16.429231
22,16.426819
23,16.031321
24,16.479891
25,16.683730
26,16.488448
27,16.501780
28,16.895611
29,16.455730
30,16.430178
31,16.435189
32,16.629873
33,16.721870
34,15.885725
35,16.491951
36,17.181047
37,15.372220
38,16.730638
39,16.647348
40,17.528811
41,17.339267
42,16.690072
43,15.586881
44,16.289376
45,16.488359
46,16.699501
47,17.123736
48,16.008225
49,16.430863
50,16.675033
51,16.482388
52,17.352159
53,17.379940
54,17.574577
55,15.988790
56,17.564015
57,17.592836
58,17.805069
59,15.523298
60,16.007918
61,15.523856
62,15.720079
63,16.174907
64,16.690689
65,17.573615
66,17.380600
67,17.199453
68,16.643366
69,16.679535
70,16.685229
71,16.492188
72,16.549191
73,16.701078
74,17.386178
75,17.405000
76,16.609452
77,16.202866
