1,142,3249.28796
2,76,1746.99738
3,77,1763.995918
4,80,1836.144799
5,71,1627.365517
6,65,1492.869348
7,72,1656.107782
8,93,2133.636208
9,74,1692.998141
10,61,1398.325791
11,93,2136.427166
12,112,2560.849443
13,92,2113.132411
14,61,1395.21686
15,82,1882.759282
16,95,2185.277859
17,143,3268.080676
18,116,2664.495412
19,120,2742.548853
20,78,1791.690595
21,83,1909.664523
22,73,1674.18906
23,78,1788.888568
24,91,2090.951025
25,80,1836.117927
26,59,1352.440917
27,72,1650.445497
28,84,1927.683673
29,65,1483.875226
30,58,1329.272103
